"species","genus","family"
"Tangara_cyanocephala","Tangara","Thraupidae"
"Tangara_cyanotis","Tangara","Thraupidae"
"Tangara_cyanoventris","Tangara","Thraupidae"
"Tangara_desmaresti","Tangara","Thraupidae"
"Tangara_dowii","Tangara","Thraupidae"
"Tangara_fastuosa","Tangara","Thraupidae"
"Tangara_florida","Tangara","Thraupidae"
"Tangara_fucosa","Tangara","Thraupidae"
"Tangara_gyrola","Tangara","Thraupidae"
"Tangara_icterocephala","Tangara","Thraupidae"
"Tangara_inornata","Tangara","Thraupidae"
"Tangara_johannae","Tangara","Thraupidae"
"Tangara_labradorides","Tangara","Thraupidae"
"Tangara_lavinia","Tangara","Thraupidae"
"Tangara_mexicana","Tangara","Thraupidae"
"Tangara_nigroviridis","Tangara","Thraupidae"
"Tangara_parzudakii","Tangara","Thraupidae"
"Tangara_rufigenis","Tangara","Thraupidae"
"Tangara_schrankii","Tangara","Thraupidae"
"Tangara_seledon","Tangara","Thraupidae"
"Tangara_vassorii","Tangara","Thraupidae"
"Tangara_velia","Tangara","Thraupidae"
"Tangara_xanthocephala","Tangara","Thraupidae"
"Teretistris_fernandinae","Teretistris","Teretistridae"
"Tersina_viridis","Tersina","Thraupidae"
"Thlypopsis_fulviceps","Thlypopsis","Thraupidae"
"Thlypopsis_inornata","Thlypopsis","Thraupidae"
"Thlypopsis_ornata","Thlypopsis","Thraupidae"
"Thlypopsis_pectoralis","Thlypopsis","Thraupidae"
"Thlypopsis_pyrrhocoma","Thlypopsis","Thraupidae"
"Thlypopsis_ruficeps","Thlypopsis","Thraupidae"
"Thlypopsis_sordida","Thlypopsis","Thraupidae"
"Tiaris_olivaceus","Tiaris","Thraupidae"
"Torreornis_inexpectata","Torreornis","Passerellidae"
"Trichothraupis_melanops","Trichothraupis","Thraupidae"
"Urothraupis_stolzmanni","Urothraupis","Thraupidae"
"Vermivora_bachmanii","Vermivora","Parulidae"
"Vermivora_chrysoptera","Vermivora","Parulidae"
"Vermivora_cyanoptera","Vermivora","Parulidae"
"Volatinia_jacarina","Volatinia","Thraupidae"
"Wetmorethraupis_sterrhopteron","Wetmorethraupis","Thraupidae"
"Xanthocephalus_xanthocephalus","Xanthocephalus","Icteridae"
"Xanthopsar_flavus","Xanthopsar","Icteridae"
"Xenodacnis_parina","Xenodacnis","Thraupidae"
"Xenoligea_montana","Xenoligea","Phaenicophilidae"
"Xenospingus_concolor","Xenospingus","Thraupidae"
"Xenospiza_baileyi","Xenospiza","Passerellidae"
"Zeledonia_coronata","Zeledonia","Zeledoniidae"
"Zonotrichia_albicollis","Zonotrichia","Passerellidae"
"Zonotrichia_atricapilla","Zonotrichia","Passerellidae"
"Zonotrichia_capensis","Zonotrichia","Passerellidae"
"Zonotrichia_leucophrys","Zonotrichia","Passerellidae"
"Zonotrichia_querula","Zonotrichia","Passerellidae"
"Rowettia_goughensis","Rowettia","Thraupidae"
"Emberiza_cia","Emberiza","Emberizidae"
"Emberiza_godlewskii","Emberiza","Emberizidae"
"Emberiza_cioides","Emberiza","Emberizidae"
"Emberiza_jankowskii","Emberiza","Emberizidae"
"Emberiza_hortulana","Emberiza","Emberizidae"
"Emberiza_caesia","Emberiza","Emberizidae"
"Emberiza_buchanani","Emberiza","Emberizidae"
"Emberiza_stewarti","Emberiza","Emberizidae"
"Emberiza_citrinella","Emberiza","Emberizidae"
"Emberiza_cirlus","Emberiza","Emberizidae"
"Emberiza_fucata","Emberiza","Emberizidae"
"Emberiza_calandra","Emberiza","Emberizidae"
"Emberiza_bruniceps","Emberiza","Emberizidae"
"Emberiza_melanocephala","Emberiza","Emberizidae"
"Emberiza_lathami","Emberiza","Emberizidae"
"Emberiza_impetuani","Emberiza","Emberizidae"
"Emberiza_tahapisi","Emberiza","Emberizidae"
"Emberiza_striolata","Emberiza","Emberizidae"
"Emberiza_capensis","Emberiza","Emberizidae"
"Emberiza_cabanisi","Emberiza","Emberizidae"
"Emberiza_flaviventris","Emberiza","Emberizidae"
"Emberiza_rutila","Emberiza","Emberizidae"
"Emberiza_tristrami","Emberiza","Emberizidae"
"Emberiza_spodocephala","Emberiza","Emberizidae"
"Emberiza_sulphurata","Emberiza","Emberizidae"
"Emberiza_yessoensis","Emberiza","Emberizidae"
"Emberiza_siemsseni","Emberiza","Emberizidae"
"Nesospiza_wilkinsi","Nesospiza","Thraupidae"
"Nesospiza_acunhae","Nesospiza","Thraupidae"
